L01 L02 L03 L04 L05 L06 L07 L08 L09 L10 L11 L12 L13 L14 L15 L16 L17 L18 L19 L20 L21 L22 L23 L24 L25 L26 L27 L28 L29 L30
114 45/45 07/07 07/41 41/46 11/12 45/45 08/25 33/48 19/19 20/22 19/30 38/38 34/34 18/36 33/33 02/02 07/07 40/40 17/17 12/12 14/14 42/42 45/45 09/18 40/40 18/18 34/46 50/50 11/11 42/42
115 45/45 07/50 41/41 46/46 12/12 29/29 08/08 03/03 19/19 22/22 30/30 11/38 22/22 36/36 22/22 02/02 20/20 08/40 17/34 27/27 10/14 09/09 21/29 06/06 32/32 18/48 34/34 29/50 11/11 18/18
116 03/45 07/07 41/41 46/46 12/12 29/45 08/13 03/03 19/19 22/22 19/19 38/38 34/34 36/36 33/33 02/32 07/20 40/40 17/34 27/27 10/10 09/42 29/29 31/31 40/40 48/48 34/34 29/50 11/11 18/18
117 45/45 07/50 37/41 46/46 11/12 43/45 08/47 03/48 19/19 20/22 19/30 38/38 22/22 18/36 33/33 02/02 07/07 40/40 34/34 12/27 10/14 42/42 29/29 09/18 40/40 48/48 34/34 29/50 11/11 42/42
118 45/45 07/07 37/41 46/46 11/12 45/45 08/08 03/33 14/19 04/22 19/19 38/38 34/34 18/36 33/33 02/32 07/07 40/40 17/34 27/27 10/14 42/42 43/45 18/19 40/40 48/48 34/34 50/50 11/11 18/42
119 34/34 01/10 05/46 04/48 42/46 25/29 24/25 03/03 05/14 22/34 46/46 25/41 10/10 25/25 22/22 45/45 08/32 08/40 17/43 22/22 10/14 02/02 29/29 06/06 32/40 28/49 46/46 19/19 11/21 23/23
120 03/03 07/07 41/41 46/46 12/12 45/45 25/47 03/03 19/19 20/22 30/30 38/38 22/22 36/36 33/33 02/02 07/07 40/40 17/34 12/27 14/14 42/42 29/29 18/31 40/40 48/48 34/46 29/50 11/11 42/42
121 34/34 10/10 46/46 04/08 42/46 25/25 36/36 03/14 05/14 34/34 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 17/17 22/22 10/41 02/04 29/29 06/06 32/32 49/49 46/46 17/19 21/21 18/23
122 45/45 07/07 07/41 46/46 47/47 45/45 08/08 03/33 19/19 20/20 19/30 38/38 24/34 16/16 33/33 02/41 07/07 40/40 17/17 27/27 10/14 42/42 45/45 18/18 40/40 18/48 34/34 50/50 11/11 42/42
123 34/45 10/10 05/46 04/48 42/46 25/25 24/36 26/48 05/14 22/34 46/46 25/41 10/10 25/25 22/22 45/45 32/32 08/08 43/43 22/22 10/10 02/02 29/29 06/24 32/40 49/49 06/46 19/19 21/21 23/23
124 45/45 07/07 37/37 46/46 11/12 45/45 08/08 03/33 19/19 22/22 30/30 38/38 22/34 18/18 33/33 02/32 07/07 40/40 17/17 12/12 10/14 42/42 29/45 18/18 40/40 18/18 34/34 50/50 11/11 07/42
125 03/45 50/50 41/41 46/46 11/12 43/43 08/47 03/03 19/19 22/22 19/30 38/38 22/22 18/36 33/33 02/02 07/07 40/40 34/34 27/27 10/14 09/42 29/29 09/09 40/40 18/48 34/46 29/50 11/11 42/42
126 45/45 10/10 05/46 04/04 46/46 25/29 24/24 03/48 14/14 22/22 46/46 41/41 10/10 16/25 22/22 45/45 08/32 08/08 43/43 22/22 10/10 02/02 29/29 06/06 32/40 28/28 46/46 19/19 21/21 18/23
127 45/45 07/50 41/41 46/46 12/12 45/45 08/08 03/03 19/19 22/22 19/19 38/38 22/34 18/36 33/33 02/02 20/20 40/40 17/34 27/27 14/14 09/42 26/29 06/31 40/40 48/48 34/34 50/50 11/11 18/18
128 45/45 10/10 46/46 48/48 14/46 25/29 08/08 03/26 05/05 22/34 46/46 18/25 10/10 16/25 22/22 45/45 08/32 40/40 33/43 22/22 10/14 09/09 45/45 06/06 32/32 18/49 46/46 19/19 21/21 23/23
129 45/45 10/10 41/46 04/48 14/14 25/25 36/36 14/26 05/05 22/22 19/46 11/25 10/10 18/25 22/22 32/32 08/08 40/40 33/43 22/22 14/14 09/09 29/45 06/06 32/32 18/28 06/06 36/50 11/21 18/18
130 45/45 10/10 41/46 48/48 11/14 25/25 25/36 26/26 05/14 22/34 46/46 25/25 10/10 16/25 22/22 32/45 08/08 40/40 33/33 22/22 14/14 09/09 29/45 06/06 32/32 18/28 06/46 50/50 11/21 18/23
131 45/45 10/10 46/46 08/08 46/46 25/29 24/36 14/26 05/14 22/22 46/46 18/25 10/10 16/27 22/22 45/45 08/08 08/40 33/33 22/22 10/14 09/09 29/45 06/06 32/32 28/49 06/46 19/19 11/21 23/23
132 34/34 10/10 05/05 08/48 46/46 25/29 24/24 48/48 05/05 22/22 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 17/43 22/22 10/10 04/04 29/29 06/06 32/32 49/49 46/46 17/36 11/21 18/18
133 45/45 07/07 07/41 46/46 12/12 29/45 08/08 03/03 19/19 22/22 46/46 38/38 22/22 36/36 22/22 02/32 20/20 08/40 34/34 27/27 10/14 09/09 21/29 31/31 32/32 18/18 34/49 50/50 11/11 18/18
134 45/45 10/10 07/41 04/48 14/14 25/45 36/36 26/26 05/19 22/22 46/46 25/25 10/10 16/27 22/22 32/32 08/08 40/40 33/33 22/22 14/14 09/09 45/45 06/06 32/32 18/28 06/06 19/50 21/21 18/23
135 45/45 07/07 41/41 46/46 12/12 43/45 08/25 03/03 19/19 22/22 19/19 38/38 22/34 36/36 22/33 32/32 20/20 40/40 17/17 27/27 10/14 09/42 26/29 06/31 40/40 18/18 34/34 29/50 11/11 18/18
136 45/45 10/10 22/46 48/48 14/46 29/29 08/25 26/26 05/05 34/34 46/46 25/25 10/10 25/27 22/22 45/45 08/32 08/40 33/43 22/22 10/14 09/09 29/45 06/06 32/32 18/18 06/46 19/19 21/21 23/23
137 45/45 07/07 07/07 46/48 12/12 29/45 08/25 03/03 19/19 20/22 19/30 11/38 22/22 36/36 22/33 32/32 20/20 40/40 17/34 27/27 10/14 09/42 21/29 06/31 32/32 18/48 34/46 50/50 11/11 18/18
138 45/45 07/07 37/41 46/46 12/12 45/45 08/08 03/48 19/19 22/22 30/30 38/38 22/34 18/36 33/33 32/32 07/07 40/40 17/17 12/12 10/14 42/42 29/45 09/18 40/40 18/48 34/46 50/50 11/11 42/42
139 45/45 07/07 07/07 46/46 12/12 45/45 08/08 33/33 19/19 04/04 19/19 38/38 22/22 16/16 26/33 02/41 07/07 40/40 17/17 12/12 10/14 42/42 29/45 09/18 40/40 48/48 34/34 50/50 11/11 07/07
140 45/45 10/10 41/41 46/48 14/46 25/29 36/36 26/26 05/05 22/22 46/46 25/25 10/10 27/27 22/22 32/32 08/08 40/40 33/33 22/22 10/14 09/09 29/45 06/06 32/32 18/18 34/46 19/50 21/21 18/23
141 45/45 50/50 07/07 46/46 12/12 29/45 08/25 03/03 19/19 22/22 30/46 11/38 10/22 16/18 22/33 02/02 20/32 40/40 34/34 27/27 10/14 09/09 29/29 31/31 32/40 18/18 06/34 29/29 11/11 18/18
142 45/45 07/07 07/41 46/46 12/12 29/45 05/08 03/03 19/19 22/22 19/46 38/38 22/22 36/36 22/33 02/32 07/20 40/40 17/34 27/27 10/14 09/42 26/29 31/31 32/32 18/48 34/34 29/50 11/11 18/18
143 45/45 07/07 07/41 46/48 12/12 29/45 08/25 03/03 19/19 22/22 19/30 11/38 34/34 36/36 22/33 02/32 07/20 40/40 34/34 27/27 10/10 09/42 26/29 31/31 32/32 18/48 34/49 50/50 11/11 12/18
144 45/45 10/10 07/46 48/48 46/46 25/25 08/25 26/26 05/05 22/34 46/46 18/25 10/10 25/25 22/22 45/45 08/08 40/40 33/33 22/22 10/14 09/09 29/45 06/31 32/32 18/28 46/46 19/36 11/21 23/23
145 45/45 10/10 07/22 48/48 11/11 25/25 08/36 03/26 05/05 34/34 46/46 18/25 10/10 16/25 22/22 32/45 08/20 40/40 33/33 22/22 10/14 09/09 29/45 06/06 32/32 18/28 06/06 19/50 11/21 18/23
146 45/45 10/10 22/46 48/48 11/14 25/25 36/36 03/26 05/05 22/34 46/46 18/25 10/28 25/27 22/22 45/45 32/32 08/40 33/43 22/22 10/14 09/42 29/45 06/06 32/32 28/49 06/06 19/19 21/30 18/23
147 45/45 07/07 07/07 46/46 11/12 45/45 08/08 03/33 14/19 04/04 19/30 38/38 24/24 18/36 33/33 41/41 07/07 40/40 17/17 27/27 14/14 42/42 45/45 18/18 40/40 18/48 34/34 50/50 11/11 42/42
148 34/45 10/25 05/46 08/48 42/42 29/29 25/36 26/48 14/14 20/22 46/46 41/41 10/28 25/25 22/22 45/45 08/32 08/08 43/43 22/22 10/14 02/04 29/29 06/24 32/40 28/28 46/46 19/19 01/21 23/23
149 45/45 10/10 46/46 08/48 11/46 25/29 24/36 26/48 05/05 34/34 46/46 25/41 10/10 27/27 22/22 45/45 32/32 08/08 43/43 22/22 10/10 09/09 29/29 06/06 32/32 28/28 46/46 19/19 11/21 18/23
150 45/45 10/10 22/22 08/48 14/46 25/25 25/36 26/26 05/14 22/34 46/46 25/25 10/10 16/25 22/22 45/45 32/32 08/40 33/33 22/22 14/14 09/42 29/45 06/06 32/32 28/49 46/46 19/19 11/21 23/23
151 45/45 07/50 41/41 46/46 12/12 43/45 08/47 03/03 19/19 20/20 30/30 38/38 22/22 36/36 33/33 02/02 07/07 40/40 34/34 27/27 14/14 42/42 29/29 18/18 40/40 48/48 34/34 50/50 11/11 42/42
152 34/34 10/10 05/05 04/48 42/46 25/29 36/36 26/26 05/14 34/34 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 17/17 21/21 23/23
153 45/45 10/10 07/41 48/48 46/46 25/25 25/36 26/26 05/05 22/34 46/46 25/25 10/10 18/18 22/22 32/45 08/32 08/40 33/33 22/22 14/14 09/09 45/45 06/06 32/32 18/18 06/46 19/19 11/21 18/23
154 45/45 10/10 46/46 08/48 11/46 25/29 24/24 26/26 05/05 22/34 46/46 25/41 10/10 16/27 22/22 45/45 32/32 08/08 33/43 22/22 10/10 04/09 29/29 06/06 32/32 28/49 06/46 19/19 11/21 18/23
155 45/45 10/10 46/46 48/48 11/11 25/25 36/36 26/26 14/14 22/34 46/46 25/25 10/10 25/27 22/22 45/45 32/32 08/08 43/43 17/22 10/10 02/02 29/29 06/06 32/32 28/28 46/46 19/19 21/30 23/23
156 34/34 10/10 05/05 48/48 42/46 25/29 36/36 03/26 05/14 22/22 46/46 41/41 10/10 16/16 22/22 45/45 08/08 08/08 43/43 22/22 10/10 04/04 29/29 06/06 32/32 49/49 06/46 17/17 21/21 18/23
157 45/45 07/07 37/41 46/46 11/12 45/45 08/25 33/48 19/19 22/22 19/19 38/38 34/34 16/18 33/33 02/32 07/07 40/40 17/17 12/27 14/14 42/42 29/45 09/09 40/40 18/18 34/34 50/50 11/11 42/42
158 45/45 07/07 07/41 46/46 12/12 29/45 08/08 03/03 19/19 22/22 19/30 11/38 10/22 18/36 22/22 02/02 20/32 40/40 17/34 27/27 10/14 09/09 21/21 31/31 32/32 18/48 34/34 29/50 11/11 18/18
159 45/45 10/10 07/41 04/48 14/14 29/45 25/36 03/26 05/05 22/22 46/46 25/25 10/10 16/18 22/22 32/32 08/08 40/40 33/33 22/22 14/14 09/09 45/45 06/06 32/32 18/18 06/06 19/36 11/21 23/23
160 34/45 10/10 07/46 48/48 11/46 25/25 25/25 03/26 05/05 15/34 46/46 25/41 10/10 25/27 22/22 32/45 32/32 08/08 43/43 17/22 10/10 02/09 29/29 06/31 32/40 49/49 06/46 19/19 11/21 18/23
161 45/45 07/07 37/41 46/46 12/12 45/45 08/08 33/33 19/19 04/20 19/30 38/38 24/34 16/16 33/33 41/41 07/07 40/40 17/17 27/27 10/14 09/42 45/45 18/19 40/40 48/48 34/34 50/50 11/11 42/42
162 03/45 01/50 37/41 46/46 12/12 43/43 08/47 03/03 19/19 20/22 30/30 38/38 22/22 18/36 33/33 02/02 07/20 40/40 17/34 27/27 10/10 42/42 29/29 18/18 40/40 48/48 46/46 29/50 11/11 42/42
163 45/45 07/07 07/41 46/46 11/12 45/45 08/08 33/48 19/19 20/20 19/30 38/38 24/34 16/18 33/33 32/41 07/07 40/40 17/17 27/27 10/14 42/42 43/45 18/18 40/40 48/48 34/34 50/50 11/11 42/42
164 45/45 07/07 41/41 46/48 12/12 29/45 08/08 03/03 19/19 22/22 19/19 38/38 34/34 16/18 33/33 02/02 07/20 40/40 17/17 27/27 14/14 09/42 26/29 31/31 40/40 48/48 34/34 50/50 11/11 12/18
165 45/45 10/10 05/05 04/04 46/46 29/29 24/24 14/48 05/14 20/34 46/46 41/41 10/10 25/25 22/22 45/45 08/08 08/08 43/43 22/22 10/14 02/04 29/29 06/06 32/32 49/49 46/46 17/19 30/30 23/37
166 45/45 10/10 46/46 04/48 42/46 25/25 36/36 26/48 14/14 34/34 46/46 25/25 10/10 27/27 22/22 45/45 32/32 08/08 33/33 22/22 10/10 09/43 29/29 06/06 32/32 28/28 46/46 19/36 11/21 18/23
167 45/45 07/07 41/41 46/46 11/12 45/45 08/08 33/33 19/19 04/20 19/30 38/38 24/34 16/18 33/33 32/32 07/07 40/40 17/49 27/27 14/14 09/42 45/45 18/18 40/40 48/48 34/34 50/50 11/11 42/42
168 45/45 10/10 07/07 48/48 11/14 25/25 36/36 03/26 05/19 22/22 46/46 25/25 10/10 16/25 22/22 45/45 08/08 40/40 33/33 22/22 10/14 09/09 29/45 06/06 32/32 18/18 06/06 19/36 11/21 18/23
169 34/45 10/10 05/46 48/48 42/46 25/25 36/36 26/26 05/14 34/34 46/46 25/41 10/28 25/25 22/22 32/45 08/32 08/08 17/43 22/22 10/14 02/04 29/29 06/24 32/40 49/49 06/46 19/19 11/11 18/23
170 45/45 10/10 46/46 08/48 46/46 25/29 36/36 03/03 05/05 34/34 46/46 41/41 10/10 16/25 22/22 32/45 08/32 08/08 43/43 22/22 10/10 04/04 29/29 06/24 32/32 49/49 06/46 19/19 11/21 18/23
171 45/45 10/10 22/22 48/48 14/46 25/25 08/36 03/26 05/05 34/34 46/46 18/25 10/10 27/27 22/22 32/45 20/32 40/40 33/33 22/22 10/10 09/09 29/45 06/06 32/32 18/49 06/06 19/19 11/21 23/23
172 34/34 10/25 05/46 04/48 46/46 29/29 36/36 26/48 05/14 34/34 46/46 41/41 10/10 16/16 15/22 45/45 08/08 08/08 17/43 22/22 10/10 02/02 29/29 06/06 32/32 49/49 46/46 19/36 21/21 23/23
173 34/34 10/10 05/05 04/48 46/46 29/29 24/24 26/48 05/14 22/34 46/46 41/41 10/10 25/25 22/22 45/45 08/08 08/08 17/43 22/22 14/41 04/04 29/29 06/06 32/32 49/49 46/46 17/19 11/21 18/23
174 45/45 07/07 07/41 46/46 11/12 45/45 08/25 03/33 19/19 22/22 19/30 38/38 22/34 18/36 33/33 02/41 07/07 40/40 17/17 12/12 14/14 42/42 29/45 09/09 40/40 18/48 34/34 50/50 11/11 42/42
175 45/45 07/50 07/41 46/46 12/12 29/45 08/08 03/46 19/19 22/22 30/30 11/38 22/22 36/36 33/33 32/32 20/20 40/40 34/34 27/27 14/14 09/09 29/29 31/31 32/40 18/48 34/49 29/50 11/11 18/18
176 45/45 10/10 46/46 08/48 11/46 25/29 25/36 26/48 05/14 22/34 46/46 18/18 10/10 27/27 22/22 45/45 32/32 40/40 33/33 22/22 10/10 09/09 29/29 06/06 32/32 28/28 46/46 36/36 21/30 18/23
177 45/45 10/10 07/22 48/48 46/46 25/29 08/36 03/26 05/05 22/22 46/46 18/25 10/10 25/27 22/22 32/45 08/32 40/40 33/33 22/22 10/14 09/09 29/45 06/06 32/32 28/28 06/06 19/36 21/21 23/23
178 45/45 10/10 22/46 48/48 11/46 25/25 08/08 03/26 05/05 22/34 46/46 18/25 10/10 27/27 22/22 45/45 32/32 40/40 43/43 22/22 10/14 02/09 29/29 06/31 32/32 18/49 06/06 19/19 21/30 18/23
179 34/45 10/10 05/46 08/48 42/42 25/25 24/36 03/14 05/14 22/34 46/46 41/41 10/10 16/16 22/22 45/45 32/32 08/08 17/43 22/22 10/10 02/04 29/29 06/06 32/32 28/49 46/46 19/36 21/30 37/37
180 03/45 07/07 07/41 46/46 12/12 45/45 08/13 03/03 19/19 22/22 19/30 38/38 22/34 16/36 22/33 02/32 20/20 40/40 17/34 27/27 10/10 09/09 26/29 31/31 40/40 18/18 34/34 50/50 11/11 18/18
181 34/45 10/25 46/46 48/48 46/46 25/25 24/24 14/48 05/14 20/22 46/46 41/41 10/10 16/16 22/22 32/45 08/08 08/08 17/17 22/22 10/41 04/04 29/29 06/06 32/32 49/49 46/46 17/19 21/30 23/23
182 45/45 10/10 46/46 04/48 46/46 25/25 36/36 26/48 05/05 34/34 46/46 25/25 10/10 25/27 22/22 32/45 32/32 08/08 43/43 22/22 14/14 09/09 29/29 06/06 32/32 28/49 46/46 19/19 11/30 18/18
183 34/34 10/10 05/05 04/04 46/46 25/29 36/36 26/26 14/23 22/34 46/46 41/41 10/10 16/16 15/22 45/45 08/08 08/08 43/43 22/22 10/10 04/04 29/29 06/06 32/32 49/49 46/46 19/36 21/21 23/23
184 45/45 10/10 05/05 08/48 42/46 29/29 24/36 26/48 14/14 34/34 46/46 41/41 10/28 16/25 22/22 32/45 08/08 08/08 17/43 22/22 10/14 02/04 29/29 06/24 32/32 28/28 46/46 19/19 11/21 23/23
185 45/45 07/07 07/41 46/46 12/12 45/45 08/08 33/33 19/19 04/20 19/19 38/38 22/24 16/18 33/33 02/41 07/07 40/40 17/17 27/27 14/14 42/42 43/45 09/09 40/40 18/48 34/34 50/50 11/11 18/42
186 34/45 10/10 05/46 08/48 46/46 25/29 24/36 26/48 14/14 34/34 46/46 41/41 10/10 25/25 22/22 45/45 08/32 08/08 43/43 22/22 14/14 04/04 20/29 06/06 32/40 28/28 46/46 17/17 21/21 18/23
187 45/45 07/07 07/41 46/46 12/47 45/45 08/08 33/48 14/19 20/20 19/30 38/38 34/34 16/16 33/33 41/41 07/07 40/40 17/17 27/27 14/14 42/42 45/45 18/19 40/40 48/48 34/34 50/50 11/11 42/42
188 34/34 10/25 05/46 04/48 46/46 25/29 36/36 26/48 05/14 22/34 46/46 41/41 10/10 16/25 15/22 45/45 08/08 08/08 43/43 22/22 10/10 04/04 29/29 06/06 32/32 49/49 46/46 17/17 21/21 18/23
189 45/45 10/10 46/46 48/48 46/46 25/25 08/36 03/26 05/05 22/34 46/46 18/18 10/10 18/27 22/22 32/45 32/32 08/40 33/43 22/22 10/10 09/09 45/45 06/06 32/32 18/18 06/46 19/19 21/21 23/23
190 45/45 07/07 41/41 46/46 12/12 45/45 08/08 33/48 19/19 22/22 19/19 38/38 22/34 18/36 33/33 02/32 07/07 40/40 17/17 12/12 14/14 42/42 45/45 31/31 40/40 18/48 34/34 50/50 11/11 42/42
191 45/45 10/10 07/46 48/48 14/46 25/29 08/08 26/26 05/14 22/22 46/46 25/25 10/10 25/25 22/22 45/45 08/32 40/40 33/33 22/22 14/14 09/09 29/29 06/06 32/32 28/49 06/06 19/19 11/30 23/23
192 45/45 07/07 07/41 46/46 47/47 45/45 08/08 33/33 19/19 04/20 19/19 38/38 24/24 16/16 33/33 02/02 07/07 40/40 17/17 27/27 10/14 42/42 45/45 18/18 40/40 48/48 34/34 50/50 11/11 42/42
193 45/45 10/10 07/41 04/48 11/14 25/25 25/36 03/26 05/05 22/22 19/46 25/25 10/10 16/27 22/22 32/45 08/08 40/40 33/33 22/22 14/14 09/09 29/45 06/06 32/32 18/18 06/06 19/50 11/11 18/23
194 45/45 07/07 41/41 46/46 12/12 45/45 08/30 33/48 19/19 20/20 19/30 38/38 24/34 16/16 33/33 02/41 07/07 40/40 17/17 27/27 14/14 09/42 45/45 18/18 40/40 18/48 34/34 50/50 11/11 42/42
195 03/03 07/50 37/41 46/46 12/12 43/43 08/25 03/03 19/19 20/22 19/30 38/38 22/22 16/36 33/33 02/32 07/20 40/40 17/34 12/27 10/10 42/42 29/29 09/18 40/40 48/48 34/34 50/50 11/11 42/42
196 45/45 10/10 46/46 48/48 11/11 25/25 36/36 26/26 05/05 22/34 46/46 18/25 10/10 25/27 22/22 45/45 32/32 08/08 33/33 22/22 14/14 09/42 29/45 06/06 32/32 49/49 06/06 19/36 11/21 18/23
197 45/45 07/07 07/37 41/46 12/12 45/45 08/08 03/48 19/19 22/22 30/30 38/38 34/34 18/36 33/33 02/32 07/07 40/40 17/17 12/12 10/14 42/42 29/45 18/18 40/40 18/18 34/34 50/50 11/11 42/42
198 45/45 10/10 41/46 48/48 11/46 25/29 36/36 26/26 05/19 22/22 46/46 25/25 10/10 16/25 22/22 32/45 08/08 40/40 33/33 22/22 14/14 09/14 29/45 06/06 32/32 18/18 06/06 19/19 11/21 23/23
199 45/45 50/50 07/41 48/48 12/12 45/45 08/25 03/03 19/19 22/22 30/46 11/38 10/22 18/36 22/22 02/32 20/20 40/40 34/34 27/27 10/14 09/09 29/29 06/31 32/40 18/18 06/34 19/50 11/11 18/18
200 45/45 07/07 07/07 46/46 12/12 29/43 08/13 03/03 19/19 22/22 30/46 11/38 10/22 36/36 22/33 32/32 20/20 08/40 34/34 27/27 10/14 09/09 29/29 31/31 32/32 18/48 34/34 29/50 11/11 18/18
201 03/45 07/50 41/41 46/48 12/12 45/45 08/08 03/03 19/19 22/22 19/19 38/38 22/34 36/36 33/33 02/02 20/20 40/40 34/34 27/27 10/14 09/09 29/29 31/31 32/40 48/48 34/34 50/50 11/11 18/42
202 03/03 07/50 41/41 46/46 11/12 45/45 08/08 03/03 19/19 20/20 30/30 38/38 22/22 18/18 33/33 02/32 07/07 40/40 34/34 12/27 10/14 09/42 29/29 09/18 40/40 48/48 34/46 50/50 11/11 42/42
203 34/34 10/10 46/46 08/48 46/46 25/25 24/24 26/48 05/14 34/34 46/46 41/41 10/10 16/25 22/22 32/45 08/32 08/15 17/43 22/22 41/41 02/43 29/29 06/06 32/32 49/49 06/46 19/36 21/30 18/18
204 34/45 10/10 05/46 48/48 46/46 25/25 36/36 03/48 05/05 22/34 46/46 41/41 10/10 16/25 22/22 32/45 08/32 08/08 17/43 22/22 10/10 02/04 29/29 06/06 32/32 28/49 46/46 19/19 30/30 23/37
205 45/45 10/10 41/46 48/48 14/46 25/25 36/36 26/26 05/05 22/22 46/46 11/25 10/10 27/27 22/22 32/32 08/08 08/40 33/33 22/22 14/14 09/42 45/45 06/06 32/32 28/28 06/06 50/50 11/21 18/18
206 45/45 10/10 41/46 04/48 14/46 25/25 36/36 26/26 05/05 22/22 19/46 11/25 10/10 25/27 22/22 32/32 08/20 40/40 33/33 22/22 14/14 09/14 29/29 06/06 32/32 28/28 06/06 19/19 21/21 23/23
207 34/34 10/10 46/46 48/48 42/46 25/29 36/36 26/48 05/14 34/34 46/46 41/41 10/10 16/16 22/22 45/45 08/08 08/08 17/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 17/19 21/21 23/23
208 03/03 50/50 37/41 46/46 12/12 43/45 25/47 03/03 19/19 20/22 30/30 38/38 22/22 36/36 33/33 02/02 20/20 40/40 34/34 27/27 10/10 09/09 29/29 09/18 40/40 48/48 34/46 50/50 11/11 07/42
209 34/34 10/10 46/46 04/48 46/46 16/29 24/36 14/48 14/14 20/34 46/46 41/41 10/10 25/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 19/19 21/21 23/23
210 45/45 10/10 22/22 48/48 14/46 25/25 08/08 03/26 05/05 34/34 46/46 18/25 10/10 25/27 22/22 45/45 08/08 40/40 33/43 22/22 14/14 09/09 29/45 06/06 32/32 28/49 06/46 19/19 11/21 23/23
211 45/45 10/10 07/07 04/48 14/14 25/45 25/36 26/26 05/05 22/34 46/46 11/25 10/10 18/25 22/22 32/32 20/32 40/40 33/43 22/22 10/14 09/09 29/45 06/06 32/32 18/18 06/46 19/50 11/11 18/23
212 45/45 07/07 41/41 46/46 12/12 45/45 05/47 03/03 19/19 22/22 19/30 38/38 22/22 16/16 33/33 02/02 07/20 40/40 17/34 12/27 14/14 09/42 26/45 31/31 40/40 48/48 46/46 50/50 11/11 42/42
213 45/45 10/10 46/46 48/48 11/11 25/25 36/36 03/26 05/14 34/34 46/46 25/25 10/10 27/27 22/22 45/45 08/32 08/08 33/33 22/22 10/10 09/09 29/45 06/06 32/32 28/28 46/46 19/19 30/30 18/18
214 34/45 10/10 46/46 04/48 42/46 25/25 24/36 14/48 05/14 22/34 46/46 41/41 10/10 16/25 22/22 32/45 08/32 08/15 17/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 19/36 21/21 23/37
215 03/03 07/50 41/41 46/46 11/12 43/45 47/47 03/03 19/19 20/22 19/30 38/38 22/22 18/36 33/33 02/32 07/07 40/40 17/17 27/27 10/10 42/42 29/29 09/31 40/40 48/48 34/46 29/50 11/11 07/42
216 45/45 07/50 07/41 46/46 12/12 45/45 08/25 03/03 19/19 20/22 19/46 11/11 22/22 36/36 22/33 32/32 20/20 40/40 17/34 27/27 10/14 09/09 29/29 31/31 32/32 18/48 06/34 29/50 11/11 18/18
217 45/45 07/07 07/37 46/46 12/12 29/43 08/13 03/03 19/19 22/22 19/46 38/38 22/22 36/36 33/33 02/02 20/20 40/40 17/34 27/27 10/14 09/09 29/29 06/31 32/32 18/18 34/49 29/50 11/11 18/18
218 45/45 07/50 07/41 46/48 12/12 29/45 08/13 03/03 19/19 22/22 30/46 11/11 10/22 18/36 22/33 02/32 20/20 40/40 34/34 27/27 10/14 09/09 29/29 31/31 32/40 18/48 06/34 19/29 11/11 18/18
219 45/45 07/50 41/41 46/46 12/12 43/45 08/13 03/03 19/19 22/22 19/19 38/38 34/34 16/36 22/22 02/02 20/20 40/40 34/34 27/27 10/14 09/09 26/29 31/31 32/40 18/48 06/34 50/50 11/21 18/18
220 45/45 07/07 07/41 46/46 11/12 45/45 08/30 33/33 19/19 20/20 30/30 38/38 24/24 16/16 33/33 02/02 07/07 40/40 17/17 27/27 14/14 09/42 45/45 19/19 40/40 18/48 34/34 50/50 11/11 42/42
221 45/45 07/50 41/41 46/48 12/12 29/45 08/08 03/03 19/19 20/22 30/30 11/38 22/22 36/36 33/33 02/02 20/32 40/40 17/34 27/27 10/10 09/09 21/29 31/31 40/40 18/18 34/34 29/50 11/11 18/18
222 45/45 07/10 07/07 04/48 12/14 25/29 08/36 03/26 05/19 22/22 30/46 11/25 10/10 18/27 22/22 32/32 08/20 40/40 33/34 22/27 10/14 09/09 29/45 06/31 32/40 18/18 06/34 36/50 11/21 18/23
223 45/45 10/10 46/46 48/48 14/46 25/25 08/08 03/14 05/05 34/34 46/46 18/18 10/10 16/25 22/22 45/45 08/32 40/40 33/33 22/22 10/14 09/09 29/29 06/06 32/32 18/49 06/46 19/36 11/21 23/23
224 45/45 10/25 46/46 04/48 11/46 25/29 36/36 03/26 05/05 22/34 46/46 25/25 10/10 25/27 22/22 32/45 32/32 08/08 33/33 22/22 10/10 04/09 29/29 06/06 32/32 28/49 06/46 19/19 30/30 18/23
225 45/45 10/10 41/41 04/46 14/46 25/29 36/36 26/26 05/05 22/34 19/46 25/25 10/10 18/27 22/22 32/32 08/20 08/40 33/33 22/22 10/14 09/09 29/45 06/06 32/32 18/28 06/06 19/19 21/21 23/23
226 45/45 07/07 37/41 46/46 47/47 45/45 08/08 03/48 19/19 04/04 30/30 38/38 24/34 16/16 33/33 02/02 07/07 40/40 17/49 27/27 14/14 42/42 43/45 19/19 40/40 48/48 34/34 50/50 11/11 42/42
227 45/45 10/10 46/46 04/48 11/11 25/29 25/36 14/48 05/14 22/34 46/46 25/41 10/10 16/27 22/22 45/45 32/32 08/40 43/43 22/22 10/14 09/43 29/45 06/06 32/32 28/28 46/46 19/19 11/30 18/23
